segment_name,confidence_assessment,openface_dominant_emotion_approx,openface_emotion_scores,openface_au_means,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad
TS6lFDVR-3g_seg004,3.0,happy,"{'AU01_r': 0.267, 'AU02_r': 0.157, 'AU04_r': 0.208, 'AU05_r': 0.09, 'AU06_r': 0.233, 'AU07_r': 0.511, 'AU09_r': 0.113, 'AU10_r': 0.818, 'AU12_r': 0.935, 'AU14_r': 0.06, 'AU15_r': 0.178, 'AU17_r': 0.94, 'AU20_r': 0.118, 'AU23_r': 0.216, 'AU25_r': 0.74, 'AU26_r': 1.252, 'AU45_r': 0.299}","{'happy': 0.935, 'surprised': 0.424, 'angry': 0.208, 'sad': 0.178}",0.267,0.157,0.208,0.09,0.233,0.511,0.113,0.818,0.935,0.06,0.178,0.94,0.118,0.216,0.74,1.252,0.299,0.935,0.424,0.208,0.178
TS6lFDVR-3g_seg005,4.0,happy,"{'AU01_r': 0.337, 'AU02_r': 0.101, 'AU04_r': 0.191, 'AU05_r': 0.081, 'AU06_r': 0.233, 'AU07_r': 0.627, 'AU09_r': 0.113, 'AU10_r': 0.803, 'AU12_r': 0.832, 'AU14_r': 0.126, 'AU15_r': 0.217, 'AU17_r': 0.96, 'AU20_r': 0.195, 'AU23_r': 0.201, 'AU25_r': 0.83, 'AU26_r': 0.984, 'AU45_r': 0.3}","{'happy': 0.832, 'surprised': 0.438, 'angry': 0.191, 'sad': 0.217}",0.337,0.101,0.191,0.081,0.233,0.627,0.113,0.803,0.832,0.126,0.217,0.96,0.195,0.201,0.83,0.984,0.3,0.832,0.438,0.191,0.217
TS6lFDVR-3g_seg006,4.0,happy,"{'AU01_r': 0.19, 'AU02_r': 0.095, 'AU04_r': 0.231, 'AU05_r': 0.047, 'AU06_r': 0.134, 'AU07_r': 0.269, 'AU09_r': 0.248, 'AU10_r': 0.826, 'AU12_r': 0.744, 'AU14_r': 0.113, 'AU15_r': 0.234, 'AU17_r': 0.901, 'AU20_r': 0.195, 'AU23_r': 0.413, 'AU25_r': 0.971, 'AU26_r': 0.964, 'AU45_r': 0.211}","{'happy': 0.744, 'surprised': 0.285, 'angry': 0.231, 'sad': 0.234}",0.19,0.095,0.231,0.047,0.134,0.269,0.248,0.826,0.744,0.113,0.234,0.901,0.195,0.413,0.971,0.964,0.211,0.744,0.285,0.231,0.234
TS6lFDVR-3g_seg007,3.0,happy,"{'AU01_r': 0.472, 'AU02_r': 0.114, 'AU04_r': 0.117, 'AU05_r': 0.067, 'AU06_r': 0.144, 'AU07_r': 0.371, 'AU09_r': 0.183, 'AU10_r': 0.703, 'AU12_r': 0.677, 'AU14_r': 0.028, 'AU15_r': 0.393, 'AU17_r': 0.768, 'AU20_r': 0.148, 'AU23_r': 0.323, 'AU25_r': 0.931, 'AU26_r': 0.942, 'AU45_r': 0.301}","{'happy': 0.677, 'surprised': 0.586, 'angry': 0.117, 'sad': 0.393}",0.472,0.114,0.117,0.067,0.144,0.371,0.183,0.703,0.677,0.028,0.393,0.768,0.148,0.323,0.931,0.942,0.301,0.677,0.586,0.117,0.393
TS6lFDVR-3g_seg008,3.0,happy,"{'AU01_r': 0.421, 'AU02_r': 0.199, 'AU04_r': 0.294, 'AU05_r': 0.1, 'AU06_r': 0.129, 'AU07_r': 0.345, 'AU09_r': 0.09, 'AU10_r': 0.644, 'AU12_r': 0.736, 'AU14_r': 0.098, 'AU15_r': 0.215, 'AU17_r': 0.855, 'AU20_r': 0.136, 'AU23_r': 0.236, 'AU25_r': 0.657, 'AU26_r': 1.074, 'AU45_r': 0.332}","{'happy': 0.736, 'surprised': 0.62, 'angry': 0.294, 'sad': 0.215}",0.421,0.199,0.294,0.1,0.129,0.345,0.09,0.644,0.736,0.098,0.215,0.855,0.136,0.236,0.657,1.074,0.332,0.736,0.62,0.294,0.215
TS6lFDVR-3g_seg009,3.0,surprised,"{'AU01_r': 0.443, 'AU02_r': 0.332, 'AU04_r': 0.246, 'AU05_r': 0.053, 'AU06_r': 0.036, 'AU07_r': 0.095, 'AU09_r': 0.171, 'AU10_r': 0.657, 'AU12_r': 0.476, 'AU14_r': 0.119, 'AU15_r': 0.24, 'AU17_r': 0.84, 'AU20_r': 0.171, 'AU23_r': 0.415, 'AU25_r': 1.331, 'AU26_r': 0.91, 'AU45_r': 0.283}","{'happy': 0.476, 'surprised': 0.774, 'angry': 0.246, 'sad': 0.24}",0.443,0.332,0.246,0.053,0.036,0.095,0.171,0.657,0.476,0.119,0.24,0.84,0.171,0.415,1.331,0.91,0.283,0.476,0.774,0.246,0.24
TS6lFDVR-3g_seg010,4.0,happy,"{'AU01_r': 0.426, 'AU02_r': 0.145, 'AU04_r': 0.55, 'AU05_r': 0.079, 'AU06_r': 0.166, 'AU07_r': 0.587, 'AU09_r': 0.11, 'AU10_r': 0.728, 'AU12_r': 0.61, 'AU14_r': 0.181, 'AU15_r': 0.302, 'AU17_r': 0.961, 'AU20_r': 0.172, 'AU23_r': 0.23, 'AU25_r': 0.78, 'AU26_r': 0.771, 'AU45_r': 0.327}","{'happy': 0.61, 'surprised': 0.571, 'angry': 0.55, 'sad': 0.302}",0.426,0.145,0.55,0.079,0.166,0.587,0.11,0.728,0.61,0.181,0.302,0.961,0.172,0.23,0.78,0.771,0.327,0.61,0.571,0.55,0.302
TS6lFDVR-3g_seg011,3.0,happy,"{'AU01_r': 0.317, 'AU02_r': 0.101, 'AU04_r': 0.201, 'AU05_r': 0.094, 'AU06_r': 0.134, 'AU07_r': 0.335, 'AU09_r': 0.116, 'AU10_r': 0.635, 'AU12_r': 0.686, 'AU14_r': 0.162, 'AU15_r': 0.378, 'AU17_r': 0.721, 'AU20_r': 0.281, 'AU23_r': 0.278, 'AU25_r': 0.911, 'AU26_r': 1.135, 'AU45_r': 0.339}","{'happy': 0.686, 'surprised': 0.419, 'angry': 0.201, 'sad': 0.378}",0.317,0.101,0.201,0.094,0.134,0.335,0.116,0.635,0.686,0.162,0.378,0.721,0.281,0.278,0.911,1.135,0.339,0.686,0.419,0.201,0.378
TS6lFDVR-3g_seg012,3.0,angry,"{'AU01_r': 0.341, 'AU02_r': 0.301, 'AU04_r': 0.792, 'AU05_r': 0.056, 'AU06_r': 0.471, 'AU07_r': 1.113, 'AU09_r': 0.105, 'AU10_r': 1.037, 'AU12_r': 0.703, 'AU14_r': 0.356, 'AU15_r': 0.206, 'AU17_r': 1.054, 'AU20_r': 0.152, 'AU23_r': 0.306, 'AU25_r': 1.069, 'AU26_r': 0.898, 'AU45_r': 0.387}","{'happy': 0.703, 'surprised': 0.642, 'angry': 0.792, 'sad': 0.206}",0.341,0.301,0.792,0.056,0.471,1.113,0.105,1.037,0.703,0.356,0.206,1.054,0.152,0.306,1.069,0.898,0.387,0.703,0.642,0.792,0.206
TS6lFDVR-3g_seg013,3.0,happy,"{'AU01_r': 0.382, 'AU02_r': 0.103, 'AU04_r': 0.246, 'AU05_r': 0.058, 'AU06_r': 0.167, 'AU07_r': 0.303, 'AU09_r': 0.151, 'AU10_r': 0.854, 'AU12_r': 0.862, 'AU14_r': 0.069, 'AU15_r': 0.229, 'AU17_r': 0.951, 'AU20_r': 0.124, 'AU23_r': 0.248, 'AU25_r': 0.828, 'AU26_r': 1.168, 'AU45_r': 0.391}","{'happy': 0.862, 'surprised': 0.485, 'angry': 0.246, 'sad': 0.229}",0.382,0.103,0.246,0.058,0.167,0.303,0.151,0.854,0.862,0.069,0.229,0.951,0.124,0.248,0.828,1.168,0.391,0.862,0.485,0.246,0.229
TS6lFDVR-3g_seg014,4.0,happy,"{'AU01_r': 0.442, 'AU02_r': 0.19, 'AU04_r': 0.264, 'AU05_r': 0.07, 'AU06_r': 0.319, 'AU07_r': 0.529, 'AU09_r': 0.085, 'AU10_r': 0.878, 'AU12_r': 1.121, 'AU14_r': 0.163, 'AU15_r': 0.18, 'AU17_r': 0.983, 'AU20_r': 0.178, 'AU23_r': 0.454, 'AU25_r': 0.876, 'AU26_r': 0.863, 'AU45_r': 0.327}","{'happy': 1.121, 'surprised': 0.632, 'angry': 0.264, 'sad': 0.18}",0.442,0.19,0.264,0.07,0.319,0.529,0.085,0.878,1.121,0.163,0.18,0.983,0.178,0.454,0.876,0.863,0.327,1.121,0.632,0.264,0.18
TS6lFDVR-3g_seg015,3.0,surprised,"{'AU01_r': 0.488, 'AU02_r': 0.147, 'AU04_r': 0.377, 'AU05_r': 0.095, 'AU06_r': 0.124, 'AU07_r': 0.33, 'AU09_r': 0.118, 'AU10_r': 0.77, 'AU12_r': 0.492, 'AU14_r': 0.046, 'AU15_r': 0.18, 'AU17_r': 1.073, 'AU20_r': 0.191, 'AU23_r': 0.234, 'AU25_r': 0.742, 'AU26_r': 0.732, 'AU45_r': 0.27}","{'happy': 0.492, 'surprised': 0.635, 'angry': 0.377, 'sad': 0.18}",0.488,0.147,0.377,0.095,0.124,0.33,0.118,0.77,0.492,0.046,0.18,1.073,0.191,0.234,0.742,0.732,0.27,0.492,0.635,0.377,0.18
TS6lFDVR-3g_seg016,3.0,happy,"{'AU01_r': 0.252, 'AU02_r': 0.148, 'AU04_r': 0.16, 'AU05_r': 0.062, 'AU06_r': 0.223, 'AU07_r': 0.466, 'AU09_r': 0.079, 'AU10_r': 0.839, 'AU12_r': 0.921, 'AU14_r': 0.141, 'AU15_r': 0.178, 'AU17_r': 1.04, 'AU20_r': 0.209, 'AU23_r': 0.289, 'AU25_r': 0.784, 'AU26_r': 1.066, 'AU45_r': 0.286}","{'happy': 0.921, 'surprised': 0.4, 'angry': 0.16, 'sad': 0.178}",0.252,0.148,0.16,0.062,0.223,0.466,0.079,0.839,0.921,0.141,0.178,1.04,0.209,0.289,0.784,1.066,0.286,0.921,0.4,0.16,0.178
TS6lFDVR-3g_seg017,4.0,happy,"{'AU01_r': 0.354, 'AU02_r': 0.117, 'AU04_r': 0.415, 'AU05_r': 0.08, 'AU06_r': 0.409, 'AU07_r': 0.269, 'AU09_r': 0.098, 'AU10_r': 1.29, 'AU12_r': 1.027, 'AU14_r': 0.286, 'AU15_r': 0.247, 'AU17_r': 0.92, 'AU20_r': 0.221, 'AU23_r': 0.279, 'AU25_r': 1.269, 'AU26_r': 1.317, 'AU45_r': 0.207}","{'happy': 1.027, 'surprised': 0.471, 'angry': 0.415, 'sad': 0.247}",0.354,0.117,0.415,0.08,0.409,0.269,0.098,1.29,1.027,0.286,0.247,0.92,0.221,0.279,1.269,1.317,0.207,1.027,0.471,0.415,0.247
tt2xKhTHZQs_seg000,3.0,surprised,"{'AU01_r': 0.391, 'AU02_r': 0.067, 'AU04_r': 0.265, 'AU05_r': 0.062, 'AU06_r': 0.075, 'AU07_r': 0.106, 'AU09_r': 0.096, 'AU10_r': 0.144, 'AU12_r': 0.223, 'AU14_r': 0.208, 'AU15_r': 0.305, 'AU17_r': 0.712, 'AU20_r': 0.127, 'AU23_r': 0.14, 'AU25_r': 0.445, 'AU26_r': 0.695, 'AU45_r': 0.194}","{'happy': 0.223, 'surprised': 0.458, 'angry': 0.265, 'sad': 0.305}",0.391,0.067,0.265,0.062,0.075,0.106,0.096,0.144,0.223,0.208,0.305,0.712,0.127,0.14,0.445,0.695,0.194,0.223,0.458,0.265,0.305
tt2xKhTHZQs_seg001,3.0,surprised,"{'AU01_r': 0.737, 'AU02_r': 0.178, 'AU04_r': 0.453, 'AU05_r': 0.091, 'AU06_r': 0.18, 'AU07_r': 0.208, 'AU09_r': 0.217, 'AU10_r': 0.336, 'AU12_r': 0.604, 'AU14_r': 0.524, 'AU15_r': 0.519, 'AU17_r': 1.064, 'AU20_r': 0.239, 'AU23_r': 0.334, 'AU25_r': 0.771, 'AU26_r': 0.77, 'AU45_r': 0.319}","{'happy': 0.604, 'surprised': 0.915, 'angry': 0.453, 'sad': 0.519}",0.737,0.178,0.453,0.091,0.18,0.208,0.217,0.336,0.604,0.524,0.519,1.064,0.239,0.334,0.771,0.77,0.319,0.604,0.915,0.453,0.519
tt2xKhTHZQs_seg002,3.0,surprised,"{'AU01_r': 0.511, 'AU02_r': 0.229, 'AU04_r': 0.336, 'AU05_r': 0.154, 'AU06_r': 0.054, 'AU07_r': 0.215, 'AU09_r': 0.179, 'AU10_r': 0.352, 'AU12_r': 0.39, 'AU14_r': 0.325, 'AU15_r': 0.594, 'AU17_r': 1.225, 'AU20_r': 0.249, 'AU23_r': 0.336, 'AU25_r': 0.697, 'AU26_r': 0.917, 'AU45_r': 0.235}","{'happy': 0.39, 'surprised': 0.74, 'angry': 0.336, 'sad': 0.594}",0.511,0.229,0.336,0.154,0.054,0.215,0.179,0.352,0.39,0.325,0.594,1.225,0.249,0.336,0.697,0.917,0.235,0.39,0.74,0.336,0.594
tt2xKhTHZQs_seg003,2.0,angry,"{'AU01_r': 0.44, 'AU02_r': 0.127, 'AU04_r': 0.689, 'AU05_r': 0.062, 'AU06_r': 0.098, 'AU07_r': 0.291, 'AU09_r': 0.105, 'AU10_r': 0.122, 'AU12_r': 0.233, 'AU14_r': 0.294, 'AU15_r': 0.373, 'AU17_r': 0.955, 'AU20_r': 0.146, 'AU23_r': 0.221, 'AU25_r': 0.564, 'AU26_r': 0.771, 'AU45_r': 0.271}","{'happy': 0.233, 'surprised': 0.567, 'angry': 0.689, 'sad': 0.373}",0.44,0.127,0.689,0.062,0.098,0.291,0.105,0.122,0.233,0.294,0.373,0.955,0.146,0.221,0.564,0.771,0.271,0.233,0.567,0.689,0.373
tt2xKhTHZQs_seg005,3.0,surprised,"{'AU01_r': 0.483, 'AU02_r': 0.236, 'AU04_r': 0.693, 'AU05_r': 0.089, 'AU06_r': 0.065, 'AU07_r': 0.196, 'AU09_r': 0.144, 'AU10_r': 0.254, 'AU12_r': 0.23, 'AU14_r': 0.214, 'AU15_r': 0.584, 'AU17_r': 0.939, 'AU20_r': 0.246, 'AU23_r': 0.267, 'AU25_r': 0.803, 'AU26_r': 0.845, 'AU45_r': 0.29}","{'happy': 0.23, 'surprised': 0.719, 'angry': 0.693, 'sad': 0.584}",0.483,0.236,0.693,0.089,0.065,0.196,0.144,0.254,0.23,0.214,0.584,0.939,0.246,0.267,0.803,0.845,0.29,0.23,0.719,0.693,0.584
tt2xKhTHZQs_seg006,3.0,surprised,"{'AU01_r': 0.624, 'AU02_r': 0.217, 'AU04_r': 0.287, 'AU05_r': 0.117, 'AU06_r': 0.052, 'AU07_r': 0.205, 'AU09_r': 0.133, 'AU10_r': 0.148, 'AU12_r': 0.252, 'AU14_r': 0.375, 'AU15_r': 0.394, 'AU17_r': 0.871, 'AU20_r': 0.198, 'AU23_r': 0.242, 'AU25_r': 0.559, 'AU26_r': 0.994, 'AU45_r': 0.37}","{'happy': 0.252, 'surprised': 0.841, 'angry': 0.287, 'sad': 0.394}",0.624,0.217,0.287,0.117,0.052,0.205,0.133,0.148,0.252,0.375,0.394,0.871,0.198,0.242,0.559,0.994,0.37,0.252,0.841,0.287,0.394
tt2xKhTHZQs_seg007,4.0,surprised,"{'AU01_r': 0.507, 'AU02_r': 0.296, 'AU04_r': 0.681, 'AU05_r': 0.133, 'AU06_r': 0.15, 'AU07_r': 0.229, 'AU09_r': 0.1, 'AU10_r': 0.248, 'AU12_r': 0.474, 'AU14_r': 0.312, 'AU15_r': 0.514, 'AU17_r': 0.922, 'AU20_r': 0.217, 'AU23_r': 0.353, 'AU25_r': 0.685, 'AU26_r': 0.998, 'AU45_r': 0.29}","{'happy': 0.474, 'surprised': 0.802, 'angry': 0.681, 'sad': 0.514}",0.507,0.296,0.681,0.133,0.15,0.229,0.1,0.248,0.474,0.312,0.514,0.922,0.217,0.353,0.685,0.998,0.29,0.474,0.802,0.681,0.514
UWKvpFZJwcE_seg000,3.0,angry,"{'AU01_r': 0.598, 'AU02_r': 0.309, 'AU04_r': 1.177, 'AU05_r': 0.138, 'AU06_r': 0.57, 'AU07_r': 1.575, 'AU09_r': 0.121, 'AU10_r': 0.781, 'AU12_r': 0.176, 'AU14_r': 0.555, 'AU15_r': 0.596, 'AU17_r': 0.882, 'AU20_r': 0.358, 'AU23_r': 0.36, 'AU25_r': 0.705, 'AU26_r': 0.867, 'AU45_r': 0.25}","{'happy': 0.176, 'surprised': 0.907, 'angry': 1.177, 'sad': 0.596}",0.598,0.309,1.177,0.138,0.57,1.575,0.121,0.781,0.176,0.555,0.596,0.882,0.358,0.36,0.705,0.867,0.25,0.176,0.907,1.177,0.596
UWKvpFZJwcE_seg001,3.0,surprised,"{'AU01_r': 0.497, 'AU02_r': 0.239, 'AU04_r': 0.631, 'AU05_r': 0.074, 'AU06_r': 0.355, 'AU07_r': 1.151, 'AU09_r': 0.123, 'AU10_r': 0.676, 'AU12_r': 0.152, 'AU14_r': 0.373, 'AU15_r': 0.367, 'AU17_r': 0.81, 'AU20_r': 0.305, 'AU23_r': 0.359, 'AU25_r': 0.689, 'AU26_r': 0.888, 'AU45_r': 0.218}","{'happy': 0.152, 'surprised': 0.735, 'angry': 0.631, 'sad': 0.367}",0.497,0.239,0.631,0.074,0.355,1.151,0.123,0.676,0.152,0.373,0.367,0.81,0.305,0.359,0.689,0.888,0.218,0.152,0.735,0.631,0.367
UWKvpFZJwcE_seg002,2.0,angry,"{'AU01_r': 0.326, 'AU02_r': 0.137, 'AU04_r': 0.715, 'AU05_r': 0.059, 'AU06_r': 0.558, 'AU07_r': 1.542, 'AU09_r': 0.096, 'AU10_r': 0.67, 'AU12_r': 0.164, 'AU14_r': 0.37, 'AU15_r': 0.451, 'AU17_r': 0.662, 'AU20_r': 0.351, 'AU23_r': 0.206, 'AU25_r': 0.596, 'AU26_r': 0.688, 'AU45_r': 0.254}","{'happy': 0.164, 'surprised': 0.463, 'angry': 0.715, 'sad': 0.451}",0.326,0.137,0.715,0.059,0.558,1.542,0.096,0.67,0.164,0.37,0.451,0.662,0.351,0.206,0.596,0.688,0.254,0.164,0.463,0.715,0.451
UWKvpFZJwcE_seg003,3.0,angry,"{'AU01_r': 0.426, 'AU02_r': 0.106, 'AU04_r': 0.715, 'AU05_r': 0.073, 'AU06_r': 0.612, 'AU07_r': 1.667, 'AU09_r': 0.102, 'AU10_r': 0.71, 'AU12_r': 0.209, 'AU14_r': 0.27, 'AU15_r': 0.618, 'AU17_r': 0.874, 'AU20_r': 0.278, 'AU23_r': 0.198, 'AU25_r': 0.565, 'AU26_r': 0.65, 'AU45_r': 0.21}","{'happy': 0.209, 'surprised': 0.532, 'angry': 0.715, 'sad': 0.618}",0.426,0.106,0.715,0.073,0.612,1.667,0.102,0.71,0.209,0.27,0.618,0.874,0.278,0.198,0.565,0.65,0.21,0.209,0.532,0.715,0.618
UWKvpFZJwcE_seg004,3.0,surprised,"{'AU01_r': 1.186, 'AU02_r': 0.582, 'AU04_r': 1.013, 'AU05_r': 0.045, 'AU06_r': 0.469, 'AU07_r': 1.639, 'AU09_r': 0.084, 'AU10_r': 0.573, 'AU12_r': 0.171, 'AU14_r': 0.428, 'AU15_r': 0.454, 'AU17_r': 1.025, 'AU20_r': 0.372, 'AU23_r': 0.598, 'AU25_r': 0.931, 'AU26_r': 1.112, 'AU45_r': 0.232}","{'happy': 0.171, 'surprised': 1.768, 'angry': 1.013, 'sad': 0.454}",1.186,0.582,1.013,0.045,0.469,1.639,0.084,0.573,0.171,0.428,0.454,1.025,0.372,0.598,0.931,1.112,0.232,0.171,1.768,1.013,0.454
UWKvpFZJwcE_seg005,3.0,angry,"{'AU01_r': 0.443, 'AU02_r': 0.268, 'AU04_r': 1.199, 'AU05_r': 0.141, 'AU06_r': 0.608, 'AU07_r': 1.615, 'AU09_r': 0.108, 'AU10_r': 0.654, 'AU12_r': 0.192, 'AU14_r': 0.324, 'AU15_r': 0.427, 'AU17_r': 1.035, 'AU20_r': 0.291, 'AU23_r': 0.57, 'AU25_r': 0.867, 'AU26_r': 0.951, 'AU45_r': 0.247}","{'happy': 0.192, 'surprised': 0.711, 'angry': 1.199, 'sad': 0.427}",0.443,0.268,1.199,0.141,0.608,1.615,0.108,0.654,0.192,0.324,0.427,1.035,0.291,0.57,0.867,0.951,0.247,0.192,0.711,1.199,0.427
UWKvpFZJwcE_seg006,3.0,surprised,"{'AU01_r': 0.744, 'AU02_r': 0.504, 'AU04_r': 1.028, 'AU05_r': 0.066, 'AU06_r': 0.496, 'AU07_r': 1.653, 'AU09_r': 0.101, 'AU10_r': 0.631, 'AU12_r': 0.118, 'AU14_r': 0.277, 'AU15_r': 0.449, 'AU17_r': 0.735, 'AU20_r': 0.286, 'AU23_r': 0.554, 'AU25_r': 0.729, 'AU26_r': 0.729, 'AU45_r': 0.255}","{'happy': 0.118, 'surprised': 1.248, 'angry': 1.028, 'sad': 0.449}",0.744,0.504,1.028,0.066,0.496,1.653,0.101,0.631,0.118,0.277,0.449,0.735,0.286,0.554,0.729,0.729,0.255,0.118,1.248,1.028,0.449
UWKvpFZJwcE_seg007,2.0,angry,"{'AU01_r': 0.504, 'AU02_r': 0.244, 'AU04_r': 0.909, 'AU05_r': 0.055, 'AU06_r': 0.437, 'AU07_r': 1.477, 'AU09_r': 0.082, 'AU10_r': 0.68, 'AU12_r': 0.184, 'AU14_r': 0.387, 'AU15_r': 0.367, 'AU17_r': 0.85, 'AU20_r': 0.243, 'AU23_r': 0.312, 'AU25_r': 0.592, 'AU26_r': 0.601, 'AU45_r': 0.202}","{'happy': 0.184, 'surprised': 0.748, 'angry': 0.909, 'sad': 0.367}",0.504,0.244,0.909,0.055,0.437,1.477,0.082,0.68,0.184,0.387,0.367,0.85,0.243,0.312,0.592,0.601,0.202,0.184,0.748,0.909,0.367
UWKvpFZJwcE_seg008,3.0,angry,"{'AU01_r': 0.342, 'AU02_r': 0.112, 'AU04_r': 0.994, 'AU05_r': 0.098, 'AU06_r': 0.398, 'AU07_r': 1.387, 'AU09_r': 0.056, 'AU10_r': 0.749, 'AU12_r': 0.123, 'AU14_r': 0.317, 'AU15_r': 0.34, 'AU17_r': 0.703, 'AU20_r': 0.237, 'AU23_r': 0.281, 'AU25_r': 0.536, 'AU26_r': 0.785, 'AU45_r': 0.151}","{'happy': 0.123, 'surprised': 0.454, 'angry': 0.994, 'sad': 0.34}",0.342,0.112,0.994,0.098,0.398,1.387,0.056,0.749,0.123,0.317,0.34,0.703,0.237,0.281,0.536,0.785,0.151,0.123,0.454,0.994,0.34
UWKvpFZJwcE_seg009,2.0,angry,"{'AU01_r': 0.324, 'AU02_r': 0.148, 'AU04_r': 0.712, 'AU05_r': 0.086, 'AU06_r': 0.38, 'AU07_r': 1.455, 'AU09_r': 0.07, 'AU10_r': 0.597, 'AU12_r': 0.112, 'AU14_r': 0.303, 'AU15_r': 0.354, 'AU17_r': 0.59, 'AU20_r': 0.262, 'AU23_r': 0.176, 'AU25_r': 0.496, 'AU26_r': 0.58, 'AU45_r': 0.221}","{'happy': 0.112, 'surprised': 0.472, 'angry': 0.712, 'sad': 0.354}",0.324,0.148,0.712,0.086,0.38,1.455,0.07,0.597,0.112,0.303,0.354,0.59,0.262,0.176,0.496,0.58,0.221,0.112,0.472,0.712,0.354
UWKvpFZJwcE_seg010,4.0,angry,"{'AU01_r': 0.612, 'AU02_r': 0.263, 'AU04_r': 1.138, 'AU05_r': 0.112, 'AU06_r': 0.524, 'AU07_r': 1.422, 'AU09_r': 0.09, 'AU10_r': 0.987, 'AU12_r': 0.362, 'AU14_r': 0.363, 'AU15_r': 0.497, 'AU17_r': 0.768, 'AU20_r': 0.243, 'AU23_r': 0.508, 'AU25_r': 0.918, 'AU26_r': 0.863, 'AU45_r': 0.174}","{'happy': 0.362, 'surprised': 0.875, 'angry': 1.138, 'sad': 0.497}",0.612,0.263,1.138,0.112,0.524,1.422,0.09,0.987,0.362,0.363,0.497,0.768,0.243,0.508,0.918,0.863,0.174,0.362,0.875,1.138,0.497
UWKvpFZJwcE_seg011,3.0,angry,"{'AU01_r': 0.382, 'AU02_r': 0.153, 'AU04_r': 1.022, 'AU05_r': 0.076, 'AU06_r': 0.529, 'AU07_r': 1.728, 'AU09_r': 0.102, 'AU10_r': 0.718, 'AU12_r': 0.251, 'AU14_r': 0.391, 'AU15_r': 0.393, 'AU17_r': 0.648, 'AU20_r': 0.325, 'AU23_r': 0.313, 'AU25_r': 0.635, 'AU26_r': 0.804, 'AU45_r': 0.272}","{'happy': 0.251, 'surprised': 0.535, 'angry': 1.022, 'sad': 0.393}",0.382,0.153,1.022,0.076,0.529,1.728,0.102,0.718,0.251,0.391,0.393,0.648,0.325,0.313,0.635,0.804,0.272,0.251,0.535,1.022,0.393
UWKvpFZJwcE_seg012,2.0,angry,"{'AU01_r': 0.386, 'AU02_r': 0.093, 'AU04_r': 0.694, 'AU05_r': 0.075, 'AU06_r': 0.592, 'AU07_r': 1.921, 'AU09_r': 0.091, 'AU10_r': 0.623, 'AU12_r': 0.186, 'AU14_r': 0.27, 'AU15_r': 0.346, 'AU17_r': 0.632, 'AU20_r': 0.293, 'AU23_r': 0.229, 'AU25_r': 0.536, 'AU26_r': 0.789, 'AU45_r': 0.255}","{'happy': 0.186, 'surprised': 0.479, 'angry': 0.694, 'sad': 0.346}",0.386,0.093,0.694,0.075,0.592,1.921,0.091,0.623,0.186,0.27,0.346,0.632,0.293,0.229,0.536,0.789,0.255,0.186,0.479,0.694,0.346
UWKvpFZJwcE_seg013,3.0,angry,"{'AU01_r': 0.281, 'AU02_r': 0.161, 'AU04_r': 0.763, 'AU05_r': 0.077, 'AU06_r': 0.518, 'AU07_r': 1.749, 'AU09_r': 0.103, 'AU10_r': 0.655, 'AU12_r': 0.173, 'AU14_r': 0.265, 'AU15_r': 0.387, 'AU17_r': 0.618, 'AU20_r': 0.329, 'AU23_r': 0.274, 'AU25_r': 0.599, 'AU26_r': 0.782, 'AU45_r': 0.228}","{'happy': 0.173, 'surprised': 0.442, 'angry': 0.763, 'sad': 0.387}",0.281,0.161,0.763,0.077,0.518,1.749,0.103,0.655,0.173,0.265,0.387,0.618,0.329,0.274,0.599,0.782,0.228,0.173,0.442,0.763,0.387
UWKvpFZJwcE_seg014,2.0,angry,"{'AU01_r': 0.364, 'AU02_r': 0.163, 'AU04_r': 1.17, 'AU05_r': 0.086, 'AU06_r': 0.491, 'AU07_r': 1.766, 'AU09_r': 0.105, 'AU10_r': 0.736, 'AU12_r': 0.181, 'AU14_r': 0.451, 'AU15_r': 0.3, 'AU17_r': 0.818, 'AU20_r': 0.204, 'AU23_r': 0.341, 'AU25_r': 0.591, 'AU26_r': 0.723, 'AU45_r': 0.21}","{'happy': 0.181, 'surprised': 0.527, 'angry': 1.17, 'sad': 0.3}",0.364,0.163,1.17,0.086,0.491,1.766,0.105,0.736,0.181,0.451,0.3,0.818,0.204,0.341,0.591,0.723,0.21,0.181,0.527,1.17,0.3
vNpmq6Ok-QQ_seg000,2.0,angry,"{'AU01_r': 0.171, 'AU02_r': 0.074, 'AU04_r': 0.709, 'AU05_r': 0.043, 'AU06_r': 0.023, 'AU07_r': 0.401, 'AU09_r': 0.201, 'AU10_r': 0.261, 'AU12_r': 0.201, 'AU14_r': 0.117, 'AU15_r': 0.413, 'AU17_r': 0.738, 'AU20_r': 0.279, 'AU23_r': 0.343, 'AU25_r': 0.579, 'AU26_r': 1.126, 'AU45_r': 0.288}","{'happy': 0.201, 'surprised': 0.244, 'angry': 0.709, 'sad': 0.413}",0.171,0.074,0.709,0.043,0.023,0.401,0.201,0.261,0.201,0.117,0.413,0.738,0.279,0.343,0.579,1.126,0.288,0.201,0.244,0.709,0.413
